PLAYER POOL,ROLES,MAIN ROLE,50 GAMES?,2024 PEAK,ALL TIME PEAK ,AVG PING,PING SPIKES,PRACTICE ,POINTS,ADJUSTED
Srm Kanedi #dman,T M B,Midlane,N,B3,S4,150,SOMETIMES,3,5,4
DLR Jjice222#DLR,T B S,Toplane,Y,S1,G2,135-170,RARE,7,7,6
Nalphstein#1365,T M ,Toplane,Y,S4,S3,180,SOMETIMES,3,5,5
Zanbacto,T J B,Jungle,Y,G4,G2,120,SOMETIMES,2,7,7
Nigerian Faker,J M,Midlane,Y,G2,P4,140-155,RARE,2,9,8
Naija Girl#111,M B S ,Support,Y,G4,P2,21,RARE,5,9,8
Kt Netoc3#911,J B ,Botlane,Y,S1,G4,120,RARE,2,7,6
LB Emerald#Dunk,T J S ,Toplane,N,I2,B3,160-300,OFTEN,3,3,2
DC Lord Loyesco #CRAB,T S,Toplane,Y,S2,S2,26,RARE,3,5,5
TabsPlayz#1764,T J S,Support,Y,B4,B4,130,OFTEN,7,3,3
DavEVOLVED,B,Botlane,N,B1,S4,30,RARE,3,5,4
LORDCYPHR#0001,J B S,Botlane,N,I4,I1,35,RARE,2,1,1
KT GhostRonin001 #KTG,T J,Jungle,Y,B1,S4,120,SOMETIMES,4,5,4
Silverfangs,J,Jungle,Y,D4,D3,140,EVERY GAME,,13,13
TE rileybash,M B S,Support,Y,G4,G3,30,SOMETIMES,2,7,7
FaultySwitch #OFF,M B ,Botlane,Y,B3,B1,160,RARE,3,3,3
SonOfCanyon #AF1,M,Midlane,N,I4,I4,190,SOMETIMES,2,1,1
Srm demonethos,T M S,Midlane,N,B2,S4,27,RARE,3,5,4
DaddyTheFather#012,J M B,Botlane,Y,-,-,170-196,OFTEN,3,-,-
KT GHEndar #GHI,T M S,Toplane,Y,S2,G2,150,RARE,6,7,6
DC Nigerianpluto #PLU,T M B ,Botlane,Y,S4,S4,170,SOMETIMES,2,5,5
KT SavageMummy #VIEGO,J B S,Jungle,Y,P2,E4,168,RARE,7,11,10
SPEEDOM,T J M,Jungle,Y,S4,S1,40,RARE,4,5,5
Shegz #EUW,J,Jungle,Y,D4,D4,14,RARE,3,13,13
Dr Alfred#kong,T J M B,Midlane,Y,P2,P1,17,RARE,3,9,9
r3dmau5#EUW,T B ,Toplane,N,-,-,130,RARE,7,-,-
TE Jueviole #tog,M B S,Botlane,Y,B2,B2,150,RARE,7,3,3
Guynow#euw,T J,Toplane,Y,S4,S1,120,SOMETIMES,1,5,5
AJsBigBackClock#EUW,T J M B,Jungle,Y,M,M,20,RARE,3,15,15
Teedawt #euw,B S,Support,Y,S4,S4,140,RARE,6,5,5
Marvyiscool,T M B,Midlane,N,B4,B2,140,SOMETIMES,3,3,3
TE PrismOO,J B,Jungle,Y,G2,P3,150,SOMETIMES,7,9,8
Novas3nsei#6079,T M S,Midlane,N,P1,E4,,RARE,3,11,10